City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Faanui,PF,81.79,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
1,Puerto Ayora,EC,77.0,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
5,Bluff,NZ,77.0,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
8,Mount Isa,AU,89.6,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
9,Avarua,CK,86.0,few clouds,-21.2078,-159.775,Paradise Inn
11,Rikitea,PF,80.44,clear sky,-23.1203,-134.9692,Pension Maro'i
12,Mataura,NZ,77.0,overcast clouds,-46.1927,168.8643,Ellie's Villa
13,Port Macquarie,AU,87.01,clear sky,-31.4333,152.9167,Rydges Port Macquarie
15,Vaini,TO,82.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
20,Isangel,VU,86.0,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
23,San Policarpo,PH,81.0,overcast clouds,12.1791,125.5072,JM Lodge
30,Chuy,UY,75.6,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
35,Butaritari,KI,81.25,clear sky,3.0707,172.7902,Isles Sunset Lodge
49,Noumea,NC,89.6,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
50,Pitimbu,BR,78.8,few clouds,-7.4706,-34.8086,Reserva do Abiaí
57,Port Blair,IN,77.38,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
59,Formosa Do Rio Preto,BR,75.76,scattered clouds,-11.0483,-45.1931,Porto Center Hotel
63,Hithadhoo,MV,80.4,overcast clouds,-0.6,73.0833,Scoop Guest House
64,Bathsheba,BB,77.0,few clouds,13.2167,-59.5167,Atlantis Hotel
69,Itaqui,BR,75.94,overcast clouds,-29.1253,-56.5531,Biasi
73,Atuona,PF,78.62,clear sky,-9.8,-139.0333,Villa Enata
75,Quibdo,CO,75.83,overcast clouds,5.6947,-76.6611,Hotel Angeles
77,Cayenne,GF,77.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
78,Kapaa,US,77.0,overcast clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
79,Pocone,BR,81.36,moderate rain,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
81,Kavieng,PG,85.08,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
86,Marawi,PH,81.0,overcast clouds,7.9986,124.2928,Derogongan Residence
89,San Luis,AR,77.07,clear sky,-33.295,-66.3356,Huarpes Hotel
93,Mersing,MY,75.2,scattered clouds,2.4312,103.8405,Timotel Hotel
96,Georgetown,MY,79.0,few clouds,5.4112,100.3354,Cititel Penang
104,Hilo,US,78.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
115,Balikpapan,ID,78.8,scattered clouds,-1.2675,116.8289,Grand Jatra Hotel Balikpapan
118,Arraial Do Cabo,BR,78.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
119,Bodden Town,KY,79.0,clear sky,19.2833,-81.25,Will T Place
129,Saint-Philippe,RE,75.2,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
141,Auki,SB,82.62,overcast clouds,-8.7676,160.7034,Auki Motel
154,Pobe,BJ,75.0,scattered clouds,6.9801,2.6649,Hôtel Étoile d'Or de Pobé
156,Koungou,YT,78.8,clear sky,-12.7336,45.2042,Villa Netibor
157,Neiafu,TO,78.8,light rain,-18.65,-173.9833,Mystic Sands
164,Bambanglipuro,ID,78.57,overcast clouds,-7.95,110.2833,Puri Brata
168,Mapiripan,CO,75.29,clear sky,2.8892,-72.1256,Monserrate
175,Barranca De Upia,CO,79.99,overcast clouds,4.5696,-72.9668,HOTEL GUAICARAMO
176,Sola,VU,86.0,light rain,-13.8833,167.55,Leumerus Bungalows
181,Chumphon,TH,81.0,broken clouds,10.3333,98.8333,สกาน จ๋า.
185,Meulaboh,ID,75.38,overcast clouds,4.1363,96.1285,Kost Pria
188,Garissa,KE,75.06,clear sky,-0.4536,39.6401,Sharif Plaza Hotel
196,Padang,ID,75.2,moderate rain,-0.9492,100.3543,Mercure Padang
203,Makakilo City,US,80.6,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
204,San Andres,CO,81.03,few clouds,12.5847,-81.7006,Hotel Arena Blanca
205,San Ignacio,BZ,75.99,clear sky,17.1561,-89.0714,Rainforest Haven Inn
209,Inhambane,MZ,78.03,overcast clouds,-23.865,35.3833,Oceano
214,Saint-Joseph,RE,75.2,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
216,Namatanai,PG,85.15,overcast clouds,-3.6667,152.4333,Namatanai Hotel
226,Port Shepstone,ZA,75.29,overcast clouds,-30.7414,30.455,My Den Beachfront B&B And Self-Catering
230,Alofi,NU,84.2,moderate rain,-19.0595,-169.9187,Taloa Heights
232,Trairi,BR,78.87,overcast clouds,-3.2778,-39.2689,janelas do mar
235,Samarai,PG,85.35,overcast clouds,-10.6167,150.6667,Nuli Sapi
242,Waipawa,NZ,75.2,clear sky,-41.4122,175.5153,Tora Coastal Walk
244,Kiunga,PG,80.85,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
245,Ahuimanu,US,80.6,broken clouds,21.4447,-157.8378,Paradise Bay Resort
