City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2021-01-23 21:26:29,-53.15,-70.9167,60.8,44,40,27.63
1,Eureka,US,2021-01-23 21:28:54,40.8021,-124.1637,55.99,70,0,10.0
2,Ponta Do Sol,PT,2021-01-23 21:28:54,32.6667,-17.1,60.01,78,100,1.99
3,Laguna,US,2021-01-23 21:28:55,38.421,-121.4238,55.0,71,40,6.91
4,New Norfolk,AU,2021-01-23 21:28:55,-42.7826,147.0587,64.99,71,4,1.01
5,East London,ZA,2021-01-23 21:27:16,-33.0153,27.9116,75.47,79,71,22.35
6,Havoysund,NO,2021-01-23 21:28:56,70.9963,24.6622,14.0,79,90,17.27
7,Busselton,AU,2021-01-23 21:28:56,-33.65,115.3333,62.01,88,45,4.76
8,Dabat,ET,2021-01-23 21:28:57,12.9842,37.765,50.76,89,1,4.07
9,Sorland,NO,2021-01-23 21:28:57,67.667,12.6934,26.11,92,78,11.61
10,Ushuaia,AR,2021-01-23 21:28:57,-54.8,-68.3,60.8,36,75,21.85
11,Vila Franca Do Campo,PT,2021-01-23 21:28:58,37.7167,-25.4333,63.0,100,75,14.97
12,Cape Town,ZA,2021-01-23 21:28:59,-33.9258,18.4232,68.0,72,75,10.36
13,Codrington,AU,2021-01-23 21:28:59,-38.2667,141.9667,69.13,56,100,7.87
14,Kapaa,US,2021-01-23 21:29:00,22.0752,-159.319,75.2,88,90,23.02
15,Saskylakh,RU,2021-01-23 21:29:00,71.9167,114.0833,-31.65,82,81,5.84
16,Aksu,CN,2021-01-23 21:29:01,41.1231,80.2644,20.1,87,1,4.07
17,Carnarvon,AU,2021-01-23 21:29:01,-24.8667,113.6333,75.2,60,90,16.11
18,Kodiak,US,2021-01-23 21:29:02,57.79,-152.4072,41.0,52,1,12.66
19,Hasaki,JP,2021-01-23 21:29:03,35.7333,140.8333,39.2,100,75,18.41
20,Norman Wells,CA,2021-01-23 21:29:03,65.282,-126.8329,-18.4,76,20,4.61
21,Salalah,OM,2021-01-23 21:29:03,17.0151,54.0924,69.8,30,0,10.36
22,Okakarara,NA,2021-01-23 21:29:04,-20.5833,17.4333,69.39,87,100,10.25
23,Geraldton,AU,2021-01-23 21:29:04,-28.7667,114.6,71.6,68,90,12.66
24,Hilo,US,2021-01-23 21:29:05,19.7297,-155.09,78.8,61,90,6.91
25,Jamestown,US,2021-01-23 21:27:38,42.097,-79.2353,21.99,73,90,12.66
26,Bluff,NZ,2021-01-23 21:29:05,-46.6,168.3333,57.99,80,76,8.01
27,Bengkulu,ID,2021-01-23 21:29:06,-3.8004,102.2655,76.53,82,93,4.63
28,Rikitea,PF,2021-01-23 21:29:06,-23.1203,-134.9692,78.89,66,0,9.95
29,Nanortalik,GL,2021-01-23 21:29:06,60.1432,-45.2371,23.16,88,0,7.38
30,Butaritari,KI,2021-01-23 21:29:07,3.0707,172.7902,79.83,79,89,10.56
31,Airai,TL,2021-01-23 21:29:07,-8.9266,125.4092,61.79,100,93,1.57
32,Bredasdorp,ZA,2021-01-23 21:29:07,-34.5322,20.0403,62.6,94,100,4.61
33,Clayton,US,2021-01-23 21:29:08,33.5335,-84.3666,61.0,21,20,5.53
34,Merauke,ID,2021-01-23 21:29:08,-8.4667,140.3333,78.96,86,84,9.64
35,Mar Del Plata,AR,2021-01-23 21:25:31,-38.0023,-57.5575,80.6,74,0,13.8
36,Mataura,NZ,2021-01-23 21:29:09,-46.1927,168.8643,57.99,80,99,8.01
37,Pevek,RU,2021-01-23 21:29:09,69.7008,170.3133,-12.12,90,100,10.18
38,Uthal,PK,2021-01-23 21:29:09,25.8072,66.6219,56.3,23,0,8.88
39,Leningradskiy,RU,2021-01-23 21:29:10,69.3833,178.4167,-13.86,83,75,3.58
40,Warman,CA,2021-01-23 21:28:03,52.3168,-106.5679,-9.4,64,1,13.8
41,Nara,JP,2021-01-23 21:29:12,34.6851,135.8049,46.4,93,75,11.5
42,Severo-Kurilsk,RU,2021-01-23 21:29:12,50.6789,156.125,22.51,93,96,29.68
43,Atuona,PF,2021-01-23 21:29:12,-9.8,-139.0333,78.22,79,2,18.23
44,Mapiripan,CO,2021-01-23 21:29:13,2.8892,-72.1256,75.54,90,99,7.18
45,Hithadhoo,MV,2021-01-23 21:29:13,-0.6,73.0833,81.84,70,100,4.61
46,Guerrero Negro,MX,2021-01-23 21:29:14,27.9769,-114.0611,64.15,53,95,10.49
47,Lebu,CL,2021-01-23 21:29:15,-37.6167,-73.65,64.36,79,7,17.87
48,Umm Lajj,SA,2021-01-23 21:29:15,25.0213,37.2685,71.65,45,0,10.29
49,Puerto Lempira,HN,2021-01-23 21:29:16,15.2667,-83.7667,81.61,72,5,6.8
50,George Town,MY,2021-01-23 21:29:16,5.4112,100.3354,78.01,88,20,2.57
51,Lata,PT,2021-01-23 21:29:17,40.1629,-8.3327,57.0,94,99,1.99
52,Turukhansk,RU,2021-01-23 21:29:17,65.8167,87.9833,-38.85,76,14,7.47
53,George,ZA,2021-01-23 21:29:18,-33.963,22.4617,66.2,94,90,8.05
54,Conceicao Da Barra,BR,2021-01-23 21:29:20,-18.5933,-39.7322,78.4,72,12,6.89
55,Pemba,MZ,2021-01-23 21:29:20,-12.974,40.5178,80.6,89,75,8.05
56,Namibe,AO,2021-01-23 21:29:20,-15.1961,12.1522,74.93,76,82,5.26
57,Saint-Philippe,RE,2021-01-23 21:29:21,-21.3585,55.7679,78.8,73,40,6.91
58,Nikolskoye,RU,2021-01-23 21:29:21,59.7035,30.7861,33.8,86,90,4.47
59,Dalvik,IS,2021-01-23 21:29:22,65.9702,-18.5286,30.2,86,90,18.41
60,Biak,ID,2021-01-23 21:29:22,-0.9131,122.8766,77.63,76,100,4.54
61,Puerto Ayora,EC,2021-01-23 21:29:22,-0.7393,-90.3518,82.4,74,40,11.5
62,Lompoc,US,2021-01-23 21:29:23,34.6391,-120.4579,54.0,71,75,9.22
63,Ambilobe,MG,2021-01-23 21:29:23,-13.2,49.05,74.23,93,5,1.83
64,Veraval,IN,2021-01-23 21:29:23,20.9,70.3667,66.38,70,0,10.65
65,Hobart,AU,2021-01-23 21:29:24,-42.8794,147.3294,64.99,77,20,6.91
66,Dingle,PH,2021-01-23 21:29:24,10.9995,122.6711,74.23,86,100,1.99
67,Avarua,CK,2021-01-23 21:29:25,-21.2078,-159.775,84.2,65,76,6.91
68,Naryan-Mar,RU,2021-01-23 21:29:25,67.6713,53.087,-17.57,86,100,12.03
69,Qaanaaq,GL,2021-01-23 21:29:26,77.484,-69.3632,17.6,79,100,3.69
70,Shaunavon,CA,2021-01-23 21:29:26,49.6501,-108.4181,15.8,79,97,10.36
71,Dali,CN,2021-01-23 21:29:17,25.7,100.1833,43.38,81,38,5.73
72,Hami,CN,2021-01-23 21:29:27,42.8,93.45,24.06,82,100,9.24
73,Artesia,US,2021-01-23 21:29:27,33.8658,-118.0831,54.0,82,90,4.61
74,Vaini,TO,2021-01-23 21:29:28,-21.2,-175.2,82.4,89,75,8.05
75,Camana,PE,2021-01-23 21:29:28,-16.6228,-72.7111,73.74,67,29,7.25
76,Gornopravdinsk,RU,2021-01-23 21:29:29,60.05,69.9,-42.16,80,38,2.68
77,Yulara,AU,2021-01-23 21:29:30,-25.2406,130.9889,73.4,100,90,9.22
78,Cap Malheureux,MU,2021-01-23 21:29:30,-19.9842,57.6142,80.01,74,0,1.99
79,Hermanus,ZA,2021-01-23 21:29:31,-34.4187,19.2345,62.01,94,99,1.01
80,Tuatapere,NZ,2021-01-23 21:29:31,-46.1333,167.6833,57.99,80,99,8.01
81,Guaimaro,CU,2021-01-23 21:29:31,21.05,-77.35,82.4,61,40,11.5
82,Mandera,KE,2021-01-23 21:29:32,3.9366,41.867,86.29,22,54,10.13
83,Katherine,AU,2021-01-23 21:29:32,-14.4667,132.2667,78.8,89,90,6.91
84,Bethel,US,2021-01-23 21:29:32,41.3712,-73.414,28.4,29,1,16.11
85,Oudtshoorn,ZA,2021-01-23 21:29:33,-33.5907,22.2014,66.2,94,90,8.05
86,Seymchan,RU,2021-01-23 21:29:33,62.8833,152.4333,-29.61,83,100,2.42
87,Kaitangata,NZ,2021-01-23 21:29:33,-46.2817,169.8464,64.0,42,91,15.99
88,Albany,US,2021-01-23 21:29:18,42.6001,-73.9662,21.0,46,0,4.0
89,Dhidhdhoo,MV,2021-01-23 21:29:35,6.8833,73.1,81.55,74,6,9.24
90,Yerbogachen,RU,2021-01-23 21:29:35,61.2767,108.0108,-50.42,75,82,2.04
91,Iqaluit,CA,2021-01-23 21:29:36,63.7506,-68.5145,12.2,92,20,12.66
92,Makaryev,RU,2021-01-23 21:29:36,57.8797,43.8069,33.42,99,100,4.61
93,Hammond,US,2021-01-23 21:29:36,41.5834,-87.5,30.99,51,1,4.61
94,Arman,RU,2021-01-23 21:29:37,59.7,150.1667,-17.05,79,3,8.03
95,Mount Gambier,AU,2021-01-23 21:29:38,-37.8333,140.7667,66.2,72,100,3.44
96,Shahrud,IR,2021-01-23 21:29:39,36.4182,54.9763,28.26,73,100,4.05
97,Ravar,IR,2021-01-23 21:29:40,31.2656,56.8055,32.68,64,0,0.92
98,Sioux Lookout,CA,2021-01-23 21:29:41,50.1001,-91.917,14.0,73,75,5.75
99,Rochegda,RU,2021-01-23 21:29:41,62.8,43.25,11.64,96,100,8.61
100,Yellowknife,CA,2021-01-23 21:27:47,62.456,-114.3525,-16.6,76,20,2.66
101,San Patricio,US,2021-01-23 21:29:42,28.017,-97.5169,69.8,100,90,12.66
102,Fortuna,US,2021-01-23 21:29:42,40.5982,-124.1573,52.0,66,1,13.8
103,Upernavik,GL,2021-01-23 21:29:42,72.7868,-56.1549,21.02,79,97,5.23
104,Lincoln,US,2021-01-23 21:29:43,40.8,-96.667,27.0,86,90,5.75
105,Port Alfred,ZA,2021-01-23 21:29:43,-33.5906,26.891,66.99,93,85,5.01
106,Tarnova,RO,2021-01-23 21:29:44,46.3167,21.8,48.99,81,20,10.36
107,Cidreira,BR,2021-01-23 21:29:44,-30.1811,-50.2056,77.97,79,0,16.4
108,Narsaq,GL,2021-01-23 21:29:44,60.9167,-46.05,26.6,33,0,24.16
109,Port Lincoln,AU,2021-01-23 21:29:45,-34.7333,135.8667,76.96,42,100,9.71
110,Moratuwa,LK,2021-01-23 21:29:45,6.773,79.8816,73.4,88,0,5.75
111,Talcahuano,CL,2021-01-23 21:29:46,-36.7167,-73.1167,64.4,77,0,12.66
112,Tessalit,ML,2021-01-23 21:29:47,20.1986,1.0114,65.64,19,0,10.56
113,Ternate,ID,2021-01-23 21:29:47,0.8,127.4,79.25,82,100,7.67
114,Portland,US,2021-01-23 21:25:04,45.5234,-122.6762,46.99,65,20,2.19
115,Souillac,MU,2021-01-23 21:29:48,-20.5167,57.5167,78.8,83,40,3.44
116,Yatou,CN,2021-01-23 21:29:49,37.15,122.3833,35.17,94,48,7.34
117,Maumere,ID,2021-01-23 21:29:50,-8.6199,122.2111,80.19,77,81,5.06
118,Luderitz,NA,2021-01-23 21:29:50,-26.6481,15.1594,72.52,45,100,27.13
119,Kidal,ML,2021-01-23 21:29:51,18.4411,1.4078,66.81,19,2,10.11
120,Cirie,IT,2021-01-23 21:29:51,45.2351,7.5988,42.01,87,0,2.3
121,Shimoda,JP,2021-01-23 21:29:52,34.6667,138.95,37.0,94,100,3.0
122,Gillette,US,2021-01-23 21:29:52,44.2911,-105.5022,28.4,59,20,13.8
123,Katsuura,JP,2021-01-23 21:29:52,35.1333,140.3,39.2,93,75,23.02
124,Tra Vinh,VN,2021-01-23 21:27:45,9.9347,106.3453,72.52,88,77,6.26
125,Antofagasta,CL,2021-01-23 21:29:41,-23.65,-70.4,75.0,73,20,13.8
126,Bambous Virieux,MU,2021-01-23 21:29:53,-20.3428,57.7575,80.01,83,40,3.44
127,Alexandria,EG,2021-01-23 21:29:54,31.2156,29.9553,55.4,76,40,4.61
128,Imbituba,BR,2021-01-23 21:29:55,-28.24,-48.6703,77.0,88,20,3.44
129,Marsaxlokk,MT,2021-01-23 21:29:55,35.8419,14.5431,57.0,71,20,14.97
130,Cabo San Lucas,MX,2021-01-23 21:26:31,22.8909,-109.9124,75.2,46,40,3.44
131,Clyde River,CA,2021-01-23 21:26:30,70.4692,-68.5914,-9.4,84,1,3.44
132,Port Elizabeth,ZA,2021-01-23 21:29:56,-33.918,25.5701,68.0,83,75,16.11
133,Esperance,AU,2021-01-23 21:29:57,-33.8667,121.9,64.4,88,90,8.05
134,Richards Bay,ZA,2021-01-23 21:29:57,-28.783,32.0377,80.13,77,0,12.73
135,Chebenki,RU,2021-01-23 21:29:57,51.9337,55.7077,10.4,85,90,8.95
136,Necochea,AR,2021-01-23 21:29:58,-38.5473,-58.7368,85.87,42,0,15.61
137,Birin,NP,2021-01-23 21:29:59,26.8865,88.0718,45.12,86,100,3.65
138,Molokovo,RU,2021-01-23 21:29:59,58.1661,36.7628,32.99,99,100,4.81
139,Puerto Carreno,CO,2021-01-23 21:28:20,6.189,-67.4859,94.14,41,100,11.45
140,Karratha,AU,2021-01-23 21:30:06,-20.7377,116.8463,81.63,52,0,14.5
141,Lodja,CD,2021-01-23 21:30:06,-3.4833,23.4333,70.72,92,91,1.81
142,Northam,GB,2021-01-23 21:30:09,51.0333,-4.2167,34.0,83,25,1.01
143,Klaksvik,FO,2021-01-23 21:30:09,62.2266,-6.589,30.2,86,20,19.62
144,Kulhudhuffushi,MV,2021-01-23 21:30:10,6.6221,73.07,81.45,73,37,8.88
145,Saldanha,ZA,2021-01-23 21:30:11,-33.0117,17.9442,66.2,72,90,14.97
146,Castro,BR,2021-01-23 21:28:13,-24.7911,-50.0119,70.72,87,100,2.37
147,Gevrai,IN,2021-01-23 21:30:11,19.2667,75.75,70.47,41,0,5.88
148,Muzhi,RU,2021-01-23 21:30:12,65.3667,64.6667,-39.48,81,12,3.06
149,Saint George,US,2021-01-23 21:30:12,37.1041,-113.5841,51.01,43,40,2.28
150,Gizo,SB,2021-01-23 21:30:13,-8.103,156.8419,82.38,68,100,6.46
151,Sao Filipe,CV,2021-01-23 21:30:13,14.8961,-24.4956,73.83,67,63,7.05
152,San Cristobal,VE,2021-01-23 21:30:13,7.7669,-72.225,86.0,58,40,11.5
153,Rovaniemi,FI,2021-01-23 21:30:14,66.5,25.7167,8.6,85,90,17.27
154,Tuktoyaktuk,CA,2021-01-23 21:30:15,69.4541,-133.0374,-20.2,76,1,13.8
155,Port Blair,IN,2021-01-23 21:30:15,11.6667,92.75,75.4,68,56,7.72
156,Buala,SB,2021-01-23 21:30:15,-8.145,159.5921,83.08,59,100,4.38
157,Barrow,US,2021-01-23 21:30:06,71.2906,-156.7887,6.8,78,1,17.27
158,Vila,PT,2021-01-23 21:30:16,42.0304,-8.1588,48.0,95,95,16.31
159,Polson,US,2021-01-23 21:30:17,47.6936,-114.1632,30.0,64,78,1.01
160,Matara,LK,2021-01-23 21:30:17,5.9485,80.5353,72.03,90,3,7.38
161,Sambava,MG,2021-01-23 21:30:18,-14.2667,50.1667,77.02,84,49,5.73
162,Provideniya,RU,2021-01-23 21:30:18,64.3833,-173.3,6.49,83,20,2.04
163,Roald,NO,2021-01-23 21:30:20,62.5833,6.1333,37.4,87,40,12.66
164,Branford,US,2021-01-23 21:30:20,41.2795,-72.8151,28.99,34,5,5.99
165,Pangody,RU,2021-01-23 21:30:21,65.85,74.4859,-45.31,78,24,3.27
166,Boa Vista,BR,2021-01-23 21:30:22,2.8197,-60.6733,86.0,58,40,6.91
167,Olinda,BR,2021-01-23 21:30:22,-8.0089,-34.8553,78.8,69,20,14.97
168,Vila Velha,BR,2021-01-23 21:30:23,-20.3297,-40.2925,80.6,69,20,8.05
169,Victoria,HK,2021-01-23 21:28:10,22.2855,114.1577,66.99,87,57,1.01
170,Touros,BR,2021-01-23 21:30:24,-5.1989,-35.4608,80.6,74,40,11.5
171,Emba,KZ,2021-01-23 21:26:29,48.8264,58.1442,4.28,91,97,7.52
172,Palm Coast,US,2021-01-23 21:26:46,29.585,-81.2078,60.01,88,90,5.75
173,Panjakent,TJ,2021-01-23 21:30:25,39.4952,67.6093,24.8,80,11,6.91
174,Aksarka,RU,2021-01-23 21:30:26,66.5606,67.7975,-40.23,81,15,2.48
175,Barstow,US,2021-01-23 21:30:26,34.8986,-117.0228,51.8,46,75,4.61
176,Boende,CD,2021-01-23 21:30:27,-0.2167,20.8667,75.69,72,36,2.51
177,Dikson,RU,2021-01-23 21:30:27,73.5069,80.5464,-17.25,90,89,6.31
